Contrato,Nota de Empenho,CNPJ,Razão Social,Data da Assinatura,Início da Vigência,Término da Vigência,Objeto,Aditivos,Valor Total do Contrato
2020-05-01,2020NE800262,59104760000191,TOYOTA DO BRASIL LTDA,20 de mai. de 2020,20 de mai. de 2020,16 de nov. de 2020,"AQUISIÇÃO DE VIATURA AMBULÂNCIA OPERACIONAL SIMPLES REMOÇÃO,4X4, 7,2 M³, OPERACIONAL.",1,"R$ 5.932.920,00"
00008/2020,2020NE800051,27929486000101,JOSNIR JOSE BISONI JUNIOR,18 de mai. de 2020,18 de mai. de 2020,7 de out. de 2020,"ADEQUAÇÃO ELÉTRICA EMERGENCIAL DO RANCHO DO HOSPITAL DE GUARNIÇÃO DE FLORIANÓPOLIS, EM FLORIANÓPOLIS/SC",0,"R$ 29.251,50"
2020-08-01,2020NE800051,27929486000101,JOSNIR JOSE BISONI JUNIOR,18 de mai. de 2020,18 de mai. de 2020,7 de out. de 2020,"ADEQUAÇÃO ELÉTRICA EMERGENCIAL DO RANCHO DO HOSPITAL DE GUARNIÇÃO DE FLORIANÓPOLIS, EM FLORIANÓPOLIS/SC",0,"R$ 29.251,50"
25/2020,2020NE800557,4228626000100,ISM GOMES DE MATTOS EIRELI,18 de mai. de 2020,18 de mai. de 2020,17 de jun. de 2020,SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO,10,"R$ 1.198.559,28"
29/2020,2020NE800549,16887298000133,OFFICE SERVICE TERCEIRIZACAO DE MAO DE OBRA EIRELI,15 de mai. de 2020,15 de mai. de 2020,14 de jun. de 2020,SERVIÇO DE RECEPCIONISTA/AGENTE DE PORTARIA,2,"R$ 91.531,02"
26/2020,2020NE800565,17206992000100,A. F. P. COSTA,14 de mai. de 2020,14 de mai. de 2020,13 de jun. de 2020,"CONTRATAÇÃO DE SERVIÇO DE IMPRESSÃO (OUTSOURCING) COM FORNECIMENTO DE EQUIPAMENTOS, INSUMOS E MANUTENÇÃO PREVENTIVA E CORRETIVA.",4,"R$ 2.365,60"
00031/2020,2020NE801784,25084798000128,MILLENIUM SEGURANCA PATRIMONIAL EIRELI,12 de mai. de 2020,12 de mai. de 2020,11 de jan. de 2021,SERVIÇO DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA,6,"R$ 244.384,95"
2020-03-01,2020NE800150,26930419000136,TORETTO COMERCIO E SERVICOS LTDA,11 de mai. de 2020,11 de mai. de 2020,10 de nov. de 2020,DEFINIR AS ESPECIFICAÇÕES E CONDIÇÕES PARA CONTRATAÇÃO DE SERVIÇO PARA ATENDER A DEMANDA DA OFICINA DE MANUTENÇÃO DE CLASSE IX DO PARQUE REGIONAL DE MANUTENÇÃO/8.,0,"R$ 29.335,41"
00003/2020,2020NE800150,26930419000136,TORETTO COMERCIO E SERVICOS LTDA,11 de mai. de 2020,11 de mai. de 2020,10 de nov. de 2020,DEFINIR AS ESPECIFICAÇÕES E CONDIÇÕES PARA CONTRATAÇÃO DE SERVIÇO PARA ATENDER A DEMANDA DA OFICINA DE MANUTENÇÃO DE CLASSE IX DO PARQUE REGIONAL DE MANUTENÇÃO/8.,0,"R$ 29.335,41"
23/2020,2020NE800394,33878052000114,VITRO DIAGNOSTICA COMERCIO E SERVICOS DE MANUTENCAO DE EQUIPAMENTOS MEDICOS EIRE,7 de mai. de 2020,7 de mai. de 2020,6 de set. de 2020,AQUISIÇÃO DE TESTE RÁPIDO PARA DETECÇÃO DO COVID-19.,0,"R$ 460.000,00"
2020-08-01,2020NE800040,27229900000161,MEDIALL BRASIL S.A.,6 de mai. de 2020,8 de jun. de 2020,7 de dez. de 2020,"SERVIÇO DE GERENCIAMENTO TÉCNICO ADMINISTRATIVO, FORNECIMENTO DE MÃO DE OBRA, RECURSOS MATERIAIS, INSUMOS, MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS E OUTROS NECESSÁRIOS PARA O FUNCIONAMENTO DE 10 (DEZ) LEITOS DO CENTRO DE TERAPIA INTENSIVA (CTI) DO HMAB, POR UM PERÍODO INICIAL DE 06 (SEIS) MESES, EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS.",1,"R$ 3.373.830,00"
00008/2020,2020NE800040,27229900000161,MEDIALL BRASIL S.A.,6 de mai. de 2020,8 de jun. de 2020,7 de jun. de 2021,"SERVIÇO DE GERENCIAMENTO TÉCNICO ADMINISTRATIVO, FORNECIMENTO DE MÃO DE OBRA, RECURSOS MATERIAIS, INSUMOS, MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS E OUTROS NECESSÁRIOS PARA O FUNCIONAMENTO DE 10 (DEZ) LEITOS DO CENTRO DE TERAPIA INTENSIVA (CTI) DO HMAB, POR UM PERÍODO INICIAL DE 06 (SEIS) MESES, EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS.",1,"R$ 3.373.830,00"
2020-05-01,2020NE800174,40419095000105,C B GONCALVES CANTINA E BAZAR,4 de mai. de 2020,4 de mai. de 2020,18 de mai. de 2020,"AQUISIÇÃO DE MÁSCARAS , TIPO REUTILIZÁVEL PARA O EFETIVO DA ESSLOG E DO CCOPAB. ""PARA ATENDER AÇÕES DE ENFRENTAMENT0 AOS EFEITOS DA COVID-19"".",0,"R$ 9.000,00"
2020-07-01,2020NE803013,15034092000106,TEC GASES INSTALACAO E ASSISTENCIA TECNICA LTDA,4 de mai. de 2020,4 de mai. de 2020,3 de nov. de 2020,"SERVIÇOS DE MANUTENÇÃO CORRETIVA NA REDE CANALIZADA DE GASES MEDICINAIS PARA DEZ LEITOS DO CENTRO DE TERAPIA INTENSIVA (CTI) E REVISÃO DE 95 PONTOS, DO HOSPITAL MILITAR DE ÁREA DE BRASÍLIA (HMAB).",0,"R$ 25.300,00"
16/2020,2020NE800142,3341826000102,P. J. CONSTRUCOES LTDA,30 de abr. de 2020,18 de mai. de 2020,17 de ago. de 2020,SERVIÇO DE MANUTENÇÃO ELÉTRICA DAS INSTALAÇÕES DO PAVILHÃO DA B ADM PARA QUE O BATALHÃO TENHA CONDIÇÕES DE ALOJAR MILITARES E AGENTES DE SEGURANÇA NO COMBATE AO COVID-19.,0,"R$ 14.549,62"
27/2020,2020NE800491,21876352000185,GIORDANI - CONSTRUCAO E COMERCIO EIRELI,30 de abr. de 2020,30 de abr. de 2020,29 de ago. de 2020,"SERVIÇO DE DEDETIZAÇÃO, DESCUPINIZAÇÃO, DESRATIZAÇÃO,CONTROLE DE PRAGAS E CONTROLE DE VETORES. ",2,"R$ 80.042,90"
2020-09-01,2020NE800005,2631287000183,GRUGER GRUPOS GERADORES LTDA,28 de abr. de 2020,28 de abr. de 2020,2 de out. de 2020,"AQUISIÇÃO E INSTALAÇÃO DE GERADOR DE ENERGIA PARA O HOSPITAL DE GUARNIÇÃO DE FLORIANÓPOLIS  - HGUFL, EM FLORIANÓPOLIS/SC",0,"R$ 161.764,00"
2020-01-01,2020NE800561,20273404000166,BIODIAG DIAGNOSTICA E HOSPITALAR LTDA,28 de abr. de 2020,28 de abr. de 2020,28 de out. de 2020,AQUISIÇÃO DE MATERIAIS PARA APOIO NO COMBATE DO CONVID-19.,0,"R$ 15.640,00"
00015/2020,2021NE000001,603216000141,CHM CONSTRUCAO E MANUTENCAO EIRELI,27 de abr. de 2020,28 de abr. de 2020,28 de out. de 2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE ESTRUTURA HOSPITALAR VISANDO COMBATE A PANDEMIA DO COVID-19.,0,"R$ 3.556.380,00"
00006/2020,2020NE800032,35820448000136,WHITE MARTINS GASES INDUSTRIAIS LTDA,20 de abr. de 2020,20 de abr. de 2020,19 de out. de 2020,"SERVIÇO EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, PARA INSTALAÇÃO E FORNECIMENTO DE REDE DE GASES MEDICINAIS, SENDO OXIGÊNIO E AR COMPRIMIDO INCLUINDO PONTOS DE CONSUMO DE GASES PARA INFRAESTRUTURA HOSPITALAR PROVISÓRIA.",0,"R$ 109.806,00"
2020-06-01,2020NE800032,35820448000136,WHITE MARTINS GASES INDUSTRIAIS LTDA,20 de abr. de 2020,20 de abr. de 2020,19 de out. de 2020,"SERVIÇO EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, PARA INSTALAÇÃO E FORNECIMENTO DE REDE DE GASES MEDICINAIS, SENDO OXIGÊNIO E AR COMPRIMIDO INCLUINDO PONTOS DE CONSUMO DE GASES PARA INFRAESTRUTURA HOSPITALAR PROVISÓRIA.",0,"R$ 109.806,00"
2020-08-01,2020NE800046,15158729000168,ULTRA AIR COMERCIO DE GASES INDUSTRIAIS E MEDICINAIS LTDA,17 de abr. de 2020,17 de abr. de 2020,13 de ago. de 2020,"SERVIÇO DE ADEQUAÇÃO DAS INSTALAÇÕES DE GASES MEDICINAIS PARA TRATAMENTO DO COVID-19 DO HMAPA, EM PORTO ALEGRE-RS.",0,"R$ 50.254,83"
00009/2020,2020NE800171,1405834000140,MTB TECNOLOGIA LTDA,14 de abr. de 2020,14 de abr. de 2020,11 de out. de 2020,"AQUISIÇÃO DE MONITORES MULTIPARÂMETROS PARA O HGEF (ATENDER AS AÇÕES DE COMBATE AO COVID19-MONITOR MULTIPARAMÉTRICO DE PACIENTES PARA USO EM ADULTOS OU PEDIÁTRICOS. DEVERÁ SER CAPAZ DE REALIZAR AS MEDIÇÕES DE ECG, RESPIRAÇÃO, OXIMETRIA DE PULSO, PRESSÃO NÃO INVASIVA E 2 CANAIS DE TEMPERATURA, 2 CANAIS DE PI E CAPNOGRAFIA. DEVERÁ POSSUIR IMPRESSORA TÉRMICA INTERNA E ANÁLISE DE ARRITMIA. DEVE APRESENTAR REGISTRO VÁLIDO NA ANVISA.-MARCA:PROLIFE;FABRICANTE:PROLIFE;MODELO:C150",0,"R$ 123.528,10"
2020-09-01,2020NE800171,1405834000140,MTB TECNOLOGIA LTDA,14 de abr. de 2020,14 de abr. de 2020,11 de out. de 2020,"AQUISIÇÃO DE MONITORES MULTIPARÂMETROS PARA O HGEF (ATENDER AS AÇÕES DE COMBATE AO COVID19-MONITOR MULTIPARAMÉTRICO DE PACIENTES PARA USO EM ADULTOS OU PEDIÁTRICOS. DEVERÁ SER CAPAZ DE REALIZAR AS MEDIÇÕES DE ECG, RESPIRAÇÃO, OXIMETRIA DE PULSO, PRESSÃO NÃO INVASIVA E 2 CANAIS DE TEMPERATURA, 2 CANAIS DE PI E CAPNOGRAFIA. DEVERÁ POSSUIR IMPRESSORA TÉRMICA INTERNA E ANÁLISE DE ARRITMIA. DEVE APRESENTAR REGISTRO VÁLIDO NA ANVISA.-MARCA:PROLIFE;FABRICANTE:PROLIFE;MODELO:C150",0,"R$ 123.528,10"
2020-07-01,2020NE800044,13885262000122,ENERBRAS INSTALACOES ELETRICAS LTDA,9 de abr. de 2020,9 de abr. de 2020,5 de ago. de 2020,"CONTRATAÇÃO DO SERVIÇO DE ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS PARA TRATAMENTO DA COVID-19 DO HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE (HMAPA), EM PORTO ALEGRE - RS",1,"R$ 36.535,24"
2020-06-01,2020NE800005,16501400000110,AJR - ENGENHARIA E ARQUITETURA LTDA,6 de abr. de 2020,6 de abr. de 2020,7 de ago. de 2020,"CONTRATAÇÃO DO SERVIÇO DE ADEQUAÇÃO DAS INSTALAÇÕES PARA TRATAMENTO DA COVID-19 DO  HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE, EM PORTO ALEGRE - RS",1,"R$ 83.987,76"
2020-09-01,2020NE800170,7555491000186,ULTRAFARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1 de abr. de 2020,1 de abr. de 2020,1 de jul. de 2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL HOSPITALAR,0,"R$ 250.000,00"
