Compra,Modalidade da Compra,Processo,Código da UASG,Nome da UASG,Município/UF,Objeto,Itens,Contratos,Valor Total da Compra
23/2020,Dispensa de Licitação,64455001817202091,160049,10. DEPOSITO DE SUPRIMENTO/MEX - CE,Fortaleza/CE,"AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL PARA A MISSÃO DE DESCONTAMINAÇÃO, EM VIRTUDE DA PANDEMIA DO COVID-19.",16,0,90357.26000000001
26/2020,Dispensa de Licitação,64593003077202043,160351,HOSPITAL DE GUARNICAO DE PORTO VELHO-MEX/RO,Porto Velho/RO,AQUISIÇÃO DE TESTE PARA DETECÇÃO QUALITATIVA IN VITRO DE ANTICORPOS DA SÍNDROME RESPIRATÓRIA AGUDA GRAVE CORONAVÍRUS 2 (SARS-COV-2) EM AMOSTRAS DE SORO E PLASMA HUMANO,1,0,90000
15/2020,Dispensa de Licitação,64581022953202070,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE REAGENTES COMPATÍVEL DE QUALIDADE IGUAL OU SUPERIOR PARA REALIZAÇÃO DE EXAMES DE GASOMETRIA NO EQUIPAMENTO ABL 835 DE PROPRIEDADE DO H MIL A MANAUS, PARA MEDIDAS DE PREVENÇÃO À PANDEMIA DE COVID-19.",1,0,90000
30/2020,Dispensa de Licitação,64597003639202019,160019,HOSPITAL DE GUARNICAO DE TABATINGA/MEX/AM,Tabatinga/AM,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO CORRETIVA DA USINA GERADORA DE OXIGÊNIO DE GASES MEDICINAIS. ",1,0,88987.55
12/2020,Dispensa de Licitação,64598001718202085,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,"AQUISIÇÃO DE CILINDRO DE GASES MEDICINAIS, SEM CARGA, VOLUME DE 50 LITROS E CAPACIDADE DE 10M³, CONFECCIONADA EM AÇO. ",1,0,88200
33/2020,Dispensa de Licitação,64582005429202024,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:172/2020  DE 26 DE MARÇO DE 2020 DO SETOR DE FARMÁCIA DISPENSAÇÃO DO HMAP,3,0,86400
28/2020,Dispensa de Licitação,64114017171202025,160006,1 BATALHAO DE INFANTARIA DE SELVA/AM,Manaus/AM,"CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DE SERVIÇOS DE ADEQUAÇÃO DO PAVILHÃO SUPERIOR DA BASE ADMINISTRATIVA, PARA ENFRENTAMENTO DO COVID-19.",11,1,84987.24000000002
186/2020,Dispensa de Licitação,64445011792202053,160068,DEPARTAMENTO DE EDUCACAO E CULTURA EXERCITO,Rio de Janeiro/RJ,"MATERIAL DE HIGIENIZAÇÃO ",8,0,84496.23
146/2020,Dispensa de Licitação,64582011318202057,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL PERMANENTE CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:21/2020 DE 02 DE JUNHO DE 2020 DA CHEFIA DE ENFERMAGEM DO HMAPA.    ",1,0,84240
143/2020,Dispensa de Licitação,64582011318202057,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:21/2020 DE 02 DE JUNHO DE 2020 DA CHEFIA DE ENFERMAGEM DO HMAPA.  ",1,0,84240
27/2020,Dispensa de Licitação,64044004598202034,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"DISPENSA DE LICITAÇÃO DE TRANSFORMADORES ELÉTRICOS 225 KVA E 150 KVA, VISANDO O COMBATE CONTRA A COVID-19. ",2,1,84060
15/2020,Dispensa de Licitação,64327004748202033,160396,COMISSAO REGIONAL DE OBRAS/3/RS,Porto Alegre/RS,"CONTRATAÇÃO DO SERVIÇO DE ADEQUAÇÃO DAS INSTALAÇÕES PARA TRATAMENTO DA COVID-19 DO  HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE, EM PORTO ALEGRE - RS",1,1,83987.76
26/2020,Dispensa de Licitação,64044003517202089,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"TRANSFORMADOR TRIFÁSICO DE DISTRIBUIÇÃO DE ENERGIA, POTÊNCIA DE 300KVA, TENSÃO NOMINAL DE 15KV, TENSÃO SECUNDÁRIA DE 220/127V,EM ÓLEO ISOLANTE.",1,1,83800
30/2020,Dispensa de Licitação,64579003580202087,160050,HOSPITAL GERAL DE FORTALEZA/MEX - CE,Fortaleza/CE,"AQUISIÇÃO DE CILINDRO DE OXIGÊNIO, VÁLVULA REDUTORA DE DE OXIGÊNIO E REGULADOR DE POSTO PARA AR COMPRIMIDO, PARA PROCEDIMENTO EM ATENDIMENTO EM PACIENTES COM SUSPEITA DE COVID-19, NO ÂMBITO DO HOSPITAL GERAL DE FORTALEZA. ",6,0,83012
177/2020,Dispensa de Licitação,64584019135202060,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (XXI),1,0,83000
24/2020,Dispensa de Licitação,64307004741202050,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,SERVIÇO DE FORNECIMENTO DE PESSOAL DE APOIO (CAMAREIRA),1,0,82500
34/2020,Dispensa de Licitação,64581023353202029,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"SERVIÇO DE ADAPTAÇÃO DE REDE DE GASES MEDICINAIS E DE REDE ELÉTRICA PARA TRANSFORMAÇÃO DE LEITOS DE ENFERMARIAPARA LEITOS DE UTI E ADEQUAÇÃO DO POSTO DE TRIAGEM, VISANDO ATENDER MEDIDAS DE PREVENÇÃO À PANDEMIA DE COVID-19.",11,0,82050
42/2020,Dispensa de Licitação,64584008911202004,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE TESTES RÁPIDOS PARA COVID-19.,1,0,82000
14/2020,Dispensa de Licitação,64307003660202032,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,"SERVIÇO DE DEDETIZAÇÃO, DESCUPINIZAÇÃO, DESRATIZAÇÃO,CONTROLE DE PRAGAS E CONTROLE DE VETORES. ",2,1,80042.9
15/2020,Dispensa de Licitação,64598002256202013,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,CONTRATAÇÃO DE SERVIÇO DE TRANSPORTE FLUVIAL. CILINDRO DE OXIGÊNIO MEDICINAL DE 07M³ E DE 10M³.,2,0,79902.3
80/2020,Dispensa de Licitação,64582007637202068,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:382/2020 DE 13 DE MAIO DE 2020 DA CENTRAL DE ABASTECIMENTO FARMACÊUTICO DO HMAPA.,2,0,78700
74/2020,Dispensa de Licitação,"6,4584E+16",160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE APARELHOS DE AR-CONDICIONADO (18.000 BTU) PARA UTI COM INSTALAÇÃO.,1,0,78490
171/2020,Dispensa de Licitação,64584019094202010,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE AVENTAL IMPERMEÁVEL,1,0,78000
130/2020,Dispensa de Licitação,64584010061202004,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE BOTAS TYVEK.,1,0,77000
48/2020,Dispensa de Licitação,64280009198202022,160438,COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA/RS,Uruguaiana/RS,AQUISIÇÃO DE MATERIAL LABORATORIAL PARA OPERAÇÃO COVID 19.,1,0,77000
48/2020,Dispensa de Licitação,64584009209202050,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,"AQUISIÇÃO DE EPI'S PARA ENFRENTAMENTO DO COVID-19 - MASCARA DESCARTÁVEL TNT 100% POLIPROPILENO, 03 CAMADAS,COR BRANCA",1,0,76500
72/2020,Dispensa de Licitação,64584010631202058,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE CENTRAL DE MONITORAÇÃO PHILIPS.,1,0,74999
11/2020,Dispensa de Licitação,64597001701202038,160019,HOSPITAL DE GUARNICAO DE TABATINGA/MEX/AM,Tabatinga/AM,"CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO CORRETIVA DE USINA GERADORA DE OXIGÊNIO. ",1,0,74831.09
23/2020,Dispensa de Licitação,64592003128202047,160345,HOSPITAL DE GUARNICAO DE NATAL,Natal/RN,AQUISIÇÃO DE MATERIAL PARA ENFRENTAMENTO DE EMERGÊNCIA DE SAÚDE PÚBLICA,1,0,74000
73/2020,Dispensa de Licitação,79/2020,160098,BASE ADMINISTRATIVA DA BDA DE OP.ESPECIAISS,Goiânia/GO,"TESTE RÁPIDO PARA COVID. ",1,0,73200
38/2020,Dispensa de Licitação,64576005800202037,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"AQUISIÇÃO DE MATERIAL DE PROTEÇÃO INDIVIDUAL, SENDO MÁSCARA N95 SEM VÁLVULA.",1,0,72811.2
40/2020,Dispensa de Licitação,64457001263202011,160494,21.DEPOSITO DE SUPRIMENTO,São Paulo/SP,"AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL (EPI) - MÁSCARAS HOSPITALARES N95 PFF2, DESTINADAS AO PESSOAL EMPREGADO NO ENFRENTAMENTO À EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTÂNCIA NACIONAL DECORRENTE DO NOVO CORONAVÍRUS - COVID-19.",1,0,72504
31/2020,Dispensa de Licitação,64576005065202061,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"ESTATIVA MÓVEL: 03 PRATELEIRAS REGULÁVEIS COM RÉGUA MÉTRICA: 01 GAVETA; 02 SUPORTES PARA SORO E BOMBAS DE INFUSÃO; RODAS DE 4, TERMOPLÁSTICA COM FREIOS; GIRO 90° DE INCLINAÇÃO CROMADO.",1,0,72000
53/2020,Dispensa de Licitação,64207004908202019,160012,CENTRO DE INSTRUCAO DE GUERRA NA SELVA/MEX/AM,Manaus/AM,SERVIÇO DE SANITIZAÇÃO AMBIENTAL.,1,1,72000
22/2020,Dispensa de Licitação,64025003741202048,160454,MEX-28. BATALHAO DE CACADORES/SE,Aracaju/SE,AQUISIÇÃO DE MATERIAIS PARA APOIO NO COMBATE DO CONVID-19.,9,1,71950
43/2020,Dispensa de Licitação,64598003107202071,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,AQUISIÇÃO DE TESTE RÁPIDO PARA CORONAVÍRUS.,1,0,70000
24/2020,Dispensa de Licitação,64598002690202001,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,AQUISIÇÃO DE TESTE RÁPIDO DE DETECÇÃO QUALITATIVA PARA ANTICORPOS IGG E IGM DO CORONAVÍRUS (COVID-19) EM AMOSTRAS DE SANGUE HUMANO POR MÉTODO IMUNOCROMATOGRÁFICO.,1,0,70000
42/2020,Dispensa de Licitação,64598003103202093,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,AQUISIÇÃO DE TESTE RÁPIDO DE DETECÇÃO QUALITATIVA PARA ANTICORPOS IGG E IGM DO CORNAVÍRUS (COVID-19).,1,0,70000
14/2020,Dispensa de Licitação,64598002339202011,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,"TESTE RÁPIDO DE DETECÇÃO DO CORONAVÍRUS (COVID-19).  (TESTE RÁPIDO DE DETECÇÃO QUALITATIVA PARA ANTICORPOS IGG E IGM DO CORONAVÍRUS (COVID-19) EM AMOSTRAS DE SANGUE HUMANO POR MÉTODO IMUNOCROMATOGRÁFICO. ",1,0,70000
91/2020,Dispensa de Licitação,64292013738202015,160392,CMDO DA 3 REGIAO MILITAR/RS,Porto Alegre/RS,"SERVIÇO PARA FORMAÇÃO DE MOTORISTAS ATRAVÉS DE MUDANÇA DE CATEGORIA CNH DE MILITARES DA B ADM AP/3ª RM, NAS CATEGORIAS C, D E E.",3,0,69152.53000000001
104/2020,Dispensa de Licitação,64584012984202092,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (VII).,1,0,68000
10/2020,Dispensa de Licitação,64583007418202079,160199,HOSPITAL MILITAR DE ÁREA DE RECIFE,Recife/PE,AQUISIÇÃO DE KIT TRANSDUTOR DE PRESSÃO DESCARTÁVEL PARA ATENDER AOS PACIENTES INFECTADOS PELO COVID-19,1,0,68000
18/2020,Dispensa de Licitação,65344.005263/2020,160323,HOSPITAL GERAL DO RIO DE JANEIRO,Rio de Janeiro/RJ,LARINGOSCÓPIO PEDIÁTRICO E ADULTO PARA ATENDER A DEMANDA DOS PACIENTES DO COVID19,1,0,67920
19/2020,Dispensa de Licitação,65344005263202011,160323,HOSPITAL GERAL DO RIO DE JANEIRO,Rio de Janeiro/RJ,VÍDEO LARINGOSCÓPIO PEDIÁTRICO E ADULTO PARA ATENDER A DEMANDA DOS PACIENTES DE COVID 19,1,0,67920
115/2020,Dispensa de Licitação,64584013496202001,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (X).,2,0,67920
42/2020,Dispensa de Licitação,64576005884202017,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,AQUISIÇÃO DE EQUIPAMENTOS MÉDICOS PERMANENTES.,3,0,67010
14/2020,Dispensa de Licitação,64593002200202017,160351,HOSPITAL DE GUARNICAO DE PORTO VELHO-MEX/RO,Porto Velho/RO,"AQUISIÇÃO DE MONITORES MULTIPARÂMETROS TIPO PRÉ CONFIGURADO. (MONITOR MULTIPARÂMETRO TIPO PRÉ CONFIGURADO, FONTE DE ALIMENTAÇÃO L00-240VAC/50-60HZ AUTOMÁTICO COM MEDIÇÃO DE ECG, PNI, SP02, MEDIÇÃO DE TEMPERATURA, INDICAÇÃO DE FREQUÊNCIA RESPIRATÓRIA, OXIMETRIA DE PULSO, PRESSÃO NÃO INVASIVA, CONTENDO 2 CANAIS DE TEMPERATURA, ANÁLISE DE ARRITMIAS E 2 CANAIS DE PRESSÃO INVASIVA)",1,0,67000
65/2020,Dispensa de Licitação,64592004463202062,160345,HOSPITAL DE GUARNICAO DE NATAL,Natal/RN,"XPRSAR-COV2-10(KIT XPERT XPRESS SARS-COV2, 10 TESTES",1,0,65600
52/2020,Dispensa de Licitação,64592004109202038,160345,HOSPITAL DE GUARNICAO DE NATAL,Natal/RN,VÍDEO LARINGOSCÓPIO,1,0,64262
142/2020,Dispensa de Licitação,64590016810202010,160139,HOSPITAL DE GUARNICAO DE JOAO PESSOA,João Pessoa/PB,"AQUISIÇÃO DE MATERIAL DE CONSUMO HOSPITALAR PARA ATENDER DEMANDA PROVOCADA PELO COVID-19. A PRESENTE AQUISIÇÃO FAZ PARTE DAS MEDIDAS DE PROTEÇÃO PARA O ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS (COVID-19).  ",1,0,63995.45
26/2020,Dispensa de Licitação,64592003214202050,160345,HOSPITAL DE GUARNICAO DE NATAL,Natal/RN,AQUISIÇÃO DE INSUMOS E ALUGUEL DE EQUIPAMENTOS PARA O ENFRENTAMENTO DO CORONAVIRUS (COVID-19),3,0,63300
65/2020,Dispensa de Licitação,64614002343202025,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,AQUISIÇÃO DE ÁLCOOL ETÍLICO.,1,0,61800
43/2020,Dispensa de Licitação,64614001682202094,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,"AQUISIÇÃO DE ÁLCOOL ETÍLICO ",1,0,61800
48/2020,Dispensa de Licitação,64614001925202094,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,AQUISIÇÃO DE ALCOOL ETÍLICO,1,0,61800
40/2020,Dispensa de Licitação,64614001500202085,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,AQUISIÇÃO DE ÁLCOOL ETÍLICO,1,0,61800
17/2020,Dispensa de Licitação,64594016848202052,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,AQUISIÇÃO DE EQUIPAMENTO MÉDICO-HOSPITALAR EM VIRTUDE DA PANDEMIA DO COVID-19.,1,0,61000
70/2020,Dispensa de Licitação,64584010265202037,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE AVENTAIS IMPERMEÁVEIS.,1,0,59800
36/2020,Dispensa de Licitação,64584008805202012,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE PEÇAS DO TOMÓGRAFO PHILIPS (MODELO BRILLIANCE CT 64 CHANNEL).,3,0,58925.43
15/2020,Dispensa de Licitação,64622007177202054,160074,PARQUE REGIONAL DE MANUTENCAO/8,Belém/PA,DEFINIR AS ESPECIFICAÇÕES E CONDIÇÕES PARA CONTRATAÇÃO DE SERVIÇO PARA ATENDER A DEMANDA DA OFICINA DE MANUTENÇÃO DE CLASSE IX DO PARQUE REGIONAL DE MANUTENÇÃO/8.,4,1,58670.82000000001
4/2020,Dispensa de Licitação,64328000766202036,160220,COMISSAO REGIONAL DE OBRAS/5,Curitiba/PR,"ADEQUAÇÃO ELÉTRICA EMERGENCIAL DO RANCHO DO HOSPITAL DE GUARNIÇÃO DE FLORIANÓPOLIS, EM FLORIANÓPOLIS/SC",1,1,58503
245/2020,Dispensa de Licitação,64582022293202017,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQ 32 - CTI DE 08 DE DEZEMBRO DE 2020 DO CENTRO DE TRATAMENTO INTENSIVO DO HMAPA.    ",1,0,57722.4
20/2020,Dispensa de Licitação,64581023253202001,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE TESTES PARA REALIZAÇÃO DE EXAMES DE DETECÇÃO RÁPIDA DE ANTICORPOS IGM/IGG CONTRA O NOVO CORONAVIRUS (SARS-COV-2), DESTINADOS AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO COVID-19.",1,0,57500
175/2020,Dispensa de Licitação,64584012654202005,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE KIT PARA MONITORIZAÇÃO DE PRESSÃO INVASIVA,1,0,57500
22/2020,Dispensa de Licitação,64456014231202087,160072,11. DEPOSITO DE SUPRIMENTOS-MEX/DF,Brasília/DF,"ATENDER DESPESA COM SERVIÇO PARA AÇÕES DE COMBATE AO COVID-19.  ",6,0,57499.369999999995
29/2020,Dispensa de Licitação,64310003647202024,160158,COMANDO 13 BDA DE INFANTARIA MOTORIZADA-ME/MT,Cuiabá/MT,AQUISIÇÃO DE MATERIAIS PARA ATENDER AS AÇÕES DE ENFRENTAMENTO AOS EFEITOS DA COVID-19.,7,0,57322.990000000005
28/2020,Dispensa de Licitação,64581023463202091,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"CONTRATAÇÃO DE SERVIÇO DE LOCAÇÃO DE CONTÊINERES, PARA ATENDER ÀS NECESSIDADES DO HOSPITAL MILITAR DE ÁREA DE MANAUS, NAS AÇÕES DE ENFRENTAMENTO DA EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTÂNCIA NACIONAL (ESPIN), EM DECORRÊNCIA DA INFECÇÃO HUMANA PELO NOVO CORONAVÍRUS (2019-NCOV).",3,0,57000
77/2020,Dispensa de Licitação,64592006187202077,160345,HOSPITAL DE GUARNICAO DE NATAL,Natal/RN,KIT TESTES RÁPIDOS COVID-19,1,0,56680
105/2020,Dispensa de Licitação,64582008603202091,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL HOSPITALAR PERMANENTE CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:12/2020 DE 22 DE MAIO DE 2020 DA CHEFIA DE ENFERMAGEM DO HMAPA.,2,0,56100
34/2020,Dispensa de Licitação,64582000542820208,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:08/2020  DE 25 DE MARÇO DE 2020 DO SETOR DE FARMÁCIA DISPENSAÇÃO DO HMAPA.    ",1,0,56000
49/2020,Dispensa de Licitação,64590013259202052,160139,HOSPITAL DE GUARNICAO DE JOAO PESSOA,João Pessoa/PB,"AQUISIÇÃO DE MATERIAL DE CONSUMO LABORATORIAL PARA ATENDER DEMANDA PROVOCADA PELO COVID-19. A PRESENTE AQUISIÇÃO FAZ PARTE DAS MEDIDAS DE PROTEÇÃO PARA O ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS (COVID-19).  ",1,0,55000
11/2020,Dispensa de Licitação,64594016513202034,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,AQUISIÇÃO DE TESTES RÁPIDOS PARA DETECÇÃO DO COVID-19.,1,0,55000
183/2020,Dispensa de Licitação,6458215050202022,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:702/2020 DE 31 DE AGOSTO DE 2020 DA CENTRAL DE ABASTECIMENTO FARMACÊUTICO DO HMAPA.,1,0,54470
7/2020,Dispensa de Licitação,64594016130202066,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,AQUISIÇÃO DE MATERIAL PARA HIGIENIZAÇÃO E LIMPEZA.,6,0,54010
44/2020,Dispensa de Licitação,64335001994202034,160146,MEX-COMANDO DA 18 BRIGADA DE INF.FRONTEIRA/MS,Corumbá/MS,"AQUISIÇÃO DE REAGENTE, ELECSYS ANTI SARS, COVID-19-KIT COM 200 TESTES PARA ATENDER AS NECESSIDADES DO PMGU DA 18ª BDA INF FRON VISANDO O ENFRENTAMENTO AOS EFEITOS DO COVID19.",1,0,54000
32/2020,Dispensa de Licitação,64335001906202002,160146,MEX-COMANDO DA 18 BRIGADA DE INF.FRONTEIRA/MS,Corumbá/MS,"AQUISIÇÃO DE REAGENTE, ELECSYS ANTI SARS, COVID-19- KIT C/200 TSTES CADA KIT, PARA ATENDER A DEMANDA DO PMGU DA 18ª BDA INF FRON.",1,0,54000
22/2020,Dispensa de Licitação,64598002733202041,160545,HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira/AM,"MANUTENÇÃO PREVENTIVA EM USINA GERADORA DE OXIGÊNIO, COM APLICAÇÃO DE PEÇAS, COMPREENDENDO: A) DO COMPRESSOR: TROCA DO ÓLEO LUBRIFICANTE, FILTRO DE ÓLEO, ELEMENTO SEPARADOR, KIT DA VÁLVULA TERMOSTÁTICA E PRESSÃO MÍNIMA, CORREIAS, KIT VÁLVULA DE ADMISSÃO; B) SUBSTITUIÇÃO DOS ELEMENTOS DA REDE DE AR (PRÉ, PÓS E CARVÃO); C) DO CONCENTRADOR: DRENO-BÓIA DO FILTRO SEPARADOR; DAS VÁLVULAS DE RETENÇÃO; DO ANALISADOR DE OXIGÊNIO; DO DRENO ELETRÔNICO DO RESERVA",1,0,53852
12/2020,Dispensa de Licitação,64044003273202034,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,AQUISIÇÃO EMERGENCIAL DE MATERIAIS ELÉTRICOS VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.,14,1,53710
21/2020,Dispensa de Licitação,64582004905202090,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL DE CONSUMO HOSPITALAR - CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO Nº 146-CAF, DE 20 DE MARÇO DE 2020.",3,0,53238.5
42/2020,Dispensa de Licitação,64511010659202049,160129,ESCOLA DE SARGENTOS DAS ARMAS,Três Corações/MG,"DESPESA COM AQUISIÇÃO DE MATERIAL DE CONSUMO, MATERIAL LABORATORIAL TESTE RÁPIDO COVID-19.",1,0,52800
151/2020,Dispensa de Licitação,64582012407202011,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:595/2020 DE 03DE AGOSTO DE 2020 DA CENTRAL DE ABASTECIMENTO FARMACÊUTICO DO HMAPA.,1,0,52632
414/2020,Dispensa de Licitação,414,160118,COMANDO DA 4 REGIAO MILITAR/DIV EX,Belo Horizonte/MG,"AQUISIÇÃO DE MARCARAS DE PROTEÇÃO DESTINADAS AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS, PARA O CMDO 4ª RM.",1,0,52500
12/2020,Dispensa de Licitação,64594016125202053,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,EMERGÊNCIA/ CALAMIDADE PÚBLICA TENDO EM VISTA A PANDEMIA REFERENTE AO CORONAVÍRUS (COVID-19).,2,0,52500
6/2020,Dispensa de Licitação,64594016125202053,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,"AQUISIÇÃO DE CILINDRO DE GASES MEDICINAIS. ",2,0,52500
